YeoJohnson_Average_Light,S5_CO2_Slope,S7_PIR,YeoJohnson_Average_Sound,Day_of_Week,Room_Occupancy_Count
0.9047898124334894,0.46248741188303877,0,0.4866033438277828,4,1
0.904333607154961,0.4544310171196887,0,0.9528290495666054,4,1
0.9047898124334894,0.4461228600199942,0,0.8146264554873719,4,1
0.9047898124334894,0.4375629405839552,0,0.8267970015187143,4,1
0.9052431399590986,0.4287512588115063,0,0.42736637649058246,4,1
0.9052431399590986,0.4229607250753873,0,0.3368393849181237,4,1
0.9047898124334894,0.4171701913392094,0,0.997896560797864,4,1
0.9052431399590986,0.4113796576030511,0,0.2590077597246996,4,1
0.9070282971800201,0.40558912386689944,0,0.36081276377866234,4,1
0.8971220744382153,0.39979859013071495,1,0.9999969686813754,4,1
0.9074677002141927,0.39400805639459596,1,0.9997281179566297,4,1
0.9079044078883785,0.38821752265841153,0,0.867618339746534,4,1
0.9079044078883785,0.38242698892229254,0,0.6413408444678659,4,1
0.9079044078883785,0.3766364551861081,0,0.9971285627318547,4,1
0.9083384489870387,0.37084592144998907,0,0.9497831694266261,4,1
0.9083384489870387,0.36505538771380464,0,0.6774280325238852,4,1
0.9079044078883785,0.365558912386559,0,0.5713242418723485,4,1
0.9074677002141927,0.36933534743185686,0,0.5713242418723485,4,1
0.9083384489870387,0.3766364551861081,0,0.5713242418723485,4,1
0.9083384489870387,0.3877139979857226,0,0.3119081474132776,4,1
0.9083384489870387,0.39652567975810604,0,0.2590077597246996,4,1
0.9079044078883785,0.40609264853960797,0,0.3368393849181237,4,1
0.9083384489870387,0.4161631419937923,0,0.2309517954752815,4,1
0.9083384489870387,0.4330312185295585,0,0.9887384659903293,4,1
0.9091986444190405,0.4340382678749364,0,0.4060398298955302,4,1
0.9083384489870387,0.4375629405839552,0,0.9948359891361267,4,1
0.9087698518576002,0.44360523665641866,0,0.7874738111575019,4,1
0.9083384489870387,0.45191339375611317,0,0.8878340487250067,4,1
0.9083384489870387,0.45921450151042986,0,0.8878340487250067,4,1
0.9083384489870387,0.46248741188303877,0,0.9887384659903293,4,1
0.9083384489870387,0.46500503524654885,0,0.729265967849792,4,1
0.9083384489870387,0.46374622356482653,0,0.2590077597246996,4,1
0.9083384489870387,0.4680261832828133,0,0.2590077597246996,4,1
0.9083384489870387,0.4712990936554222,0,0.8584774845112306,4,1
0.9083384489870387,0.47054380664638884,0,0.17139641641258158,4,1
0.9079044078883785,0.47205438066452104,0,0.9631844507302547,4,1
0.9079044078883785,0.47255790533721,0,0.555652291414797,4,1
0.9083384489870387,0.47507552870072006,0,0.07269426078937052,4,1
0.9083384489870387,0.4793554884185759,0,0.10691562492898954,4,1
0.9079044078883785,0.48514602215462943,0,0.13979788763601458,4,1
0.9079044078883785,0.48917421953640267,0,0.9884121506873749,4,1
0.9087698518576002,0.4916918428998473,0,0.7723398626340101,4,1
0.9091986444190405,0.4929506545822242,0,0.36081276377866234,4,1
0.9087698518576002,0.4929506545822242,0,0.9216350574102805,4,1
0.9087698518576002,0.4916918428998473,0,0.8983663044182497,4,1
0.9096248541702674,0.4889224572004509,0,0.38386717083046634,4,1
0.9104696331862403,0.49068479355473127,0,0.9939163546813881,4,1
0.9104696331862403,0.49068479355473127,0,0.9810167673028605,4,1
0.9104696331862403,0.4952165156090625,0,0.36081276377866234,4,1
0.9100485081982976,0.49194360523645353,0,0.17139641641258158,4,1
0.9087698518576002,0.48741188318212236,0,0.600932855953374,4,1
0.9087698518576002,0.4818731117820205,0,0.17139641641258158,4,1
0.9100485081982976,0.4788519637460179,0,0.7474530256294399,4,1
0.9091986444190405,0.47532729103713,0,0.719655014719463,4,1
0.9091986444190405,0.4740684793553422,0,0.9720165013862909,4,1
0.9091986444190405,0.4745720040280311,0,0.4060398298955302,4,1
0.9087698518576002,0.46727089627377993,0,0.9373659587834355,4,1
